dato,category,evidence_file,unit,coverage,granularity,limitation,columns
demanda_oficial_sin,FOUND_METADATA_ONLY,D:\Proyectos\minenergia\xm_validation-main\data\catalogos\maestros\ListadoMetricas.xlsx,kWh segun MetricUnits de DemaReal,61 filas de catalogo; no hay serie descargada DemaReal en fuentes autorizadas,HourlyEntities en metadata XM,"MetricId, URL y MaxDays son metadata; no contienen valores de demanda.",Date; Id; MetricId; MetricName; Entity; MaxDays; Type; Url; Filter; MetricUnits; MetricDescription
generacion_agregada,FOUND_WITH_LIMITATIONS,D:\Proyectos\minenergia\sddp\data\generacion_2023_2026.csv,kWh y GWh agregados hidro/termo,1278 registros; 2023-01-01 a 2026-05-31; nivel Sistema,diaria,"No incluye solar, eolica, cogeneracion, importaciones, exportaciones ni otras fuentes desagregadas.",Id; Value; Date; es_nino; ma7; hidro_kwh; termo_kwh; hidro_gwh; termo_gwh; hidro_ma30; termo_ma30; apor_ma30
generacion_por_recurso,FOUND_WITH_LIMITATIONS,D:\Proyectos\minenergia\carbon_termo\data\processed\panel_generacion_consumo_carbon_test.csv,kWh y MWh diarios por recurso carbon,"86 registros, 13 recursos, 2026-06-01 a 2026-06-07",diaria por recurso,Solo muestra de carbon por 7 dias; no cubre generacion por recurso de todo el SIN ni horizonte historico completo.,fecha; codigo_sic; recurso_xm; nombre_planta; agente; departamento; municipio; capacidad_mw; generacion_kwh; generacion_mwh; horas_con_generacion; factor_uso_diario; consumo_mbtu; horas_con_consumo; mbtu_por_mwh; generacion_mwh_dia_max
capacidad_termica,FOUND_WITH_LIMITATIONS,D:\Proyectos\minenergia\carbon_termo\data\processed\catalogo_plantas_carbon_principal.csv,MW,14 recursos carbon principales; 14/77 termicas totales; 14/41 termicas centrales; suma 1611.0 MW,recurso,"Cubre carbon, no toda la flota termica gas/liquidos/biogas/biomasa/GLP/ACPM/JET-A1.",id_planta; codigo_sic; recurso_xm; nombre_planta; agente; departamento; municipio; latitud; longitud; combustible_principal; combustible_secundario; capacidad_mw; estado_operacion; tipo_despacho; tipo_generacion; clasificacion; tecnologia; fuente; fecha_actualizacion; observaciones
disponibilidad_termica,FOUND_METADATA_ONLY,D:\Proyectos\minenergia\carbon_termo\data\processed\catalogo_plantas_carbon_principal.csv,categoria/horas historicas; no MW disponible,estado_operacion para catalogo carbon; horas_con_generacion en panel de prueba 2026-06-01 a 2026-06-07,recurso y dia en muestra historica,"No existe disponibilidad fisica MW, indisponibilidad ni mantenimiento futuro. Horas con generacion no equivalen a disponibilidad.",estado_operacion; tipo_despacho; horas_con_generacion; factor_uso_diario
relacion_volumen_energia,MISSING_CRITICAL,D:\Proyectos\minenergia\embalses_manu\baseindices.parquet,masa/porcentaje; no GWh,baseindices 3851 registros; resultados 3978 registros; columnas GWh directas: [],mensual por embalse en observados/proyecciones,"No hay energia_almacenada_gwh, factor de conversion, productividad ni curva cota-volumen. No se puede calcular GWh conservados ni valor del agua COP/kWh.",VolumenUtilDiarioMasa; VolumenUtilPorcentaje; CapacidadUtilMasa; VertimientosEnergia; VertimientosEnergia_sum
almacenamiento_porcentaje,FOUND_WITH_LIMITATIONS,D:\Proyectos\minenergia\embalses_manu\outputs\escenarios_con_probabilidad.xlsx,VolumenUtilTotal en fraccion/porcentaje normalizado,60 filas; 2026-06-01 a 2027-05-01; 5 escenarios,mensual sistema/escenario,"Sirve como trayectoria indicativa, envolvente o indice; no representa energia almacenada GWh.",Fecha; Escenario; ONI_forzado; VolumenUtilTotal; Trimestre; Probabilidad
aportes_hidricos,FOUND_WITH_LIMITATIONS,D:\Proyectos\minenergia\sddp\data\aportes_2010_2026.csv,Value/indice Sistema; en embalses_manu existen AportesHidricosMasa y AportesPorc,6027 registros diarios Sistema; 2010-01-01 a 2026-06-01,diaria Sistema en sddp; mensual por embalse/sistema en embalses_manu,"No es GWh. Permite escenarios relativos o indices, no balance hidrico energetico sin conversion tecnica.",Id; Value; Date; es_nino; ma7
escenarios_probabilidades,FOUND_VALID,D:\Proyectos\minenergia\embalses_manu\outputs\escenarios_con_probabilidad.xlsx,probabilidad 0-1; ONI_forzado; VolumenUtilTotal,12/12 fechas con suma de probabilidades valida; horizonte 2026-06-01 a 2027-05-01,mensual por escenario,"Probabilidades asociadas a trayectorias de volumen util, no a aportes energeticos.",Fecha; Escenario; ONI_forzado; VolumenUtilTotal; Trimestre; Probabilidad
limite_termico_agregado,FOUND_WITH_LIMITATIONS,D:\Proyectos\minenergia\carbon_termo\data\processed\catalogo_plantas_carbon_principal.csv,MW para bloque carbon,bloque carbon principal 1611.0 MW; no toda la termica,recurso agregable a bloque carbon,"Suficiente solo para bloque carbon parcial; no representa gas, liquidos ni demas termicas.",codigo_sic; combustible_principal; capacidad_mw
precio_por_recurso,FOUND_WITH_LIMITATIONS,D:\Proyectos\minenergia\sddp\data\precio_oferta_historical.csv,COP/kWh segun auditoria heredada,95 codigos con oferta; 40/77 termicas totales; 40/41 centrales,horaria por recurso y dia,No suple capacidad ni disponibilidad; requiere union por codigo.,Values_code; Values_Hour01..Values_Hour24; Date
codigo_union,FOUND_WITH_LIMITATIONS,D:\Proyectos\minenergia\carbon_termo\data\processed\catalogo_plantas_carbon_principal.csv,codigo recurso,14/14 codigos carbon principal aparecen en listado_plantas.csv,recurso,Valido para carbon; faltan homologaciones completas de otros combustibles.,codigo_sic; recurso_xm; Values_Code
combustible,FOUND_WITH_LIMITATIONS,D:\Proyectos\minenergia\sddp\data\listado_plantas.csv,categoria de combustible,listado_plantas cubre 9 fuentes termicas; carbon_termo detalla carbon,recurso,Combustible disponible como categoria; no incluye costos de combustible ni restricciones logisticas.,Values_EnerSource; combustible_principal
